threshold_rate,top_k,precision,recall,f1,lift,ndcg,strategy
0.01,400,1.0,0.02531645569620253,0.04938271604938272,2.5315822784810127,1.0,raw cri probability
0.03,1200,0.9991666666666666,0.07588607594936708,0.14105882352941176,2.5294726265822782,0.9992082457260744,raw cri probability
0.05,2000,0.9985,0.12639240506329114,0.2243820224719101,2.527784905063291,0.9986328174324249,raw cri probability
0.1,4000,0.994,0.25164556962025314,0.4016161616161616,2.5163927848101264,0.9946840454065263,raw cri probability
0.2,8000,0.93325,0.47253164556962024,0.6273949579831933,2.362599161392405,0.940276622942362,raw cri probability
0.01,400,0.885,0.02240506329113924,0.0437037037037037,2.240450316455696,0.9030455932478118,manual topsis equal
0.03,1200,0.8375,0.06360759493670887,0.11823529411764708,2.1202001582278482,0.8512171303323955,manual topsis equal
0.05,2000,0.8275,0.10474683544303798,0.18595505617977529,2.0948843354430378,0.837858862352586,manual topsis equal
0.1,4000,0.81825,0.20715189873417722,0.3306060606060606,2.071467199367089,0.8251164527348515,manual topsis equal
0.2,8000,0.819,0.41468354430379745,0.5505882352941176,2.073365886075949,0.8224869845116013,manual topsis equal
0.01,400,0.7625,0.01930379746835443,0.03765432098765432,1.9303314873417718,0.7790640914821811,manual vikor equal
0.03,1200,0.765,0.05810126582278481,0.108,1.9366604430379746,0.7715831456113796,manual vikor equal
0.05,2000,0.7565,0.09575949367088607,0.16999999999999998,1.9151419936708858,0.7619597624628516,manual vikor equal
0.1,4000,0.75825,0.1919620253164557,0.3063636363636364,1.9195722626582277,0.7609881455832934,manual vikor equal
0.2,8000,0.793625,0.4018354430379747,0.5335294117647059,2.0091269857594938,0.7914628349397298,manual vikor equal
0.01,400,0.925,0.02341772151898734,0.04567901234567901,2.3417136075949365,0.9372741508153897,manual waspas equal
0.03,1200,0.8716666666666667,0.06620253164556962,0.12305882352941176,2.2066958860759494,0.8830073615015526,manual waspas equal
0.05,2000,0.8635,0.10930379746835443,0.19404494382022472,2.1860212974683546,0.8716808087793381,manual waspas equal
0.1,4000,0.82125,0.2079113924050633,0.33181818181818185,2.0790619462025317,0.8308410666473202,manual waspas equal
0.2,8000,0.801,0.40556962025316456,0.5384873949579833,2.027797405063291,0.808472535423077,manual waspas equal
0.01,400,0.995,0.02518987341772152,0.049135802469135806,2.5189243670886077,0.9960513484034513,baseline auto mcdm
0.03,1200,0.9566666666666667,0.07265822784810126,0.13505882352941173,2.421880379746835,0.9624032729615463,baseline auto mcdm
0.05,2000,0.9495,0.12018987341772151,0.2133707865168539,2.403737373417721,0.9545944491711237,baseline auto mcdm
0.1,4000,0.90975,0.23031645569620254,0.36757575757575756,2.303106977848101,0.9170301264037132,baseline auto mcdm
0.2,8000,0.84225,0.42645569620253165,0.566218487394958,2.132225174050633,0.8531830741794966,baseline auto mcdm
0.01,400,0.9975,0.025253164556962027,0.049259259259259267,2.52525332278481,0.9979476453959653,pareto auto mcdm
0.03,1200,0.9991666666666666,0.07588607594936708,0.14105882352941176,2.5294726265822782,0.9991495161528581,pareto auto mcdm
0.05,2000,0.9985,0.12639240506329114,0.2243820224719101,2.527784905063291,0.9985923631231446,pareto auto mcdm
0.1,4000,0.993,0.25139240506329114,0.40121212121212124,2.5138612025316456,0.9938086710807754,pareto auto mcdm
0.2,8000,0.933,0.47240506329113924,0.6272268907563026,2.361966265822785,0.940079202487665,pareto auto mcdm
