reference_strategy,comparison_strategy,metric,difference_definition,observed_difference,mean_bootstrap_difference,bca_ci_lower,bca_ci_upper,probability_comparison_better,favoured_strategy,raw_p_value,holm_bonferroni_p_value
pareto auto mcdm,raw cri probability,average_precision,comparison minus reference on the test split,-0.0028269516882981627,-0.002819550373607532,-0.0031118819809594087,-0.002576671952763657,0.0,pareto auto mcdm,0.0,0.0
pareto auto mcdm,raw cri probability,f1_at_20pct,comparison minus reference on the test split,0.0001680672268907779,0.00030126072220521216,-0.0011770723833522936,0.0013486709912603507,0.648,raw cri probability,0.704,0.704
pareto auto mcdm,manual topsis equal,average_precision,comparison minus reference on the test split,-0.1178205179519527,-0.11788765167332577,-0.12360088142830465,-0.11156918227315986,0.0,pareto auto mcdm,0.0,0.0
pareto auto mcdm,manual topsis equal,f1_at_20pct,comparison minus reference on the test split,-0.07663865546218496,-0.07687383780605438,-0.08315190085412827,-0.07032398985337317,0.0,pareto auto mcdm,0.0,0.0
pareto auto mcdm,manual vikor equal,average_precision,comparison minus reference on the test split,-0.14666820934887004,-0.14670330474430954,-0.15335058270115362,-0.13982703456507958,0.0,pareto auto mcdm,0.0,0.0
pareto auto mcdm,manual vikor equal,f1_at_20pct,comparison minus reference on the test split,-0.09369747899159664,-0.09346737341434358,-0.10093585088871014,-0.08777039588603154,0.0,pareto auto mcdm,0.0,0.0
pareto auto mcdm,manual waspas equal,average_precision,comparison minus reference on the test split,-0.12553479675284696,-0.12559155884809164,-0.1316082783507784,-0.1195278074662492,0.0,pareto auto mcdm,0.0,0.0
pareto auto mcdm,manual waspas equal,f1_at_20pct,comparison minus reference on the test split,-0.0887394957983193,-0.08845645899003399,-0.09551558990427712,-0.08289171517368474,0.0,pareto auto mcdm,0.0,0.0
pareto auto mcdm,baseline auto mcdm,average_precision,comparison minus reference on the test split,-0.07036026870686629,-0.07043916228425481,-0.0745039162649123,-0.06618650694603835,0.0,pareto auto mcdm,0.0,0.0
pareto auto mcdm,baseline auto mcdm,f1_at_20pct,comparison minus reference on the test split,-0.06100840336134461,-0.060644099844211465,-0.06699941672744555,-0.055783287218124075,0.0,pareto auto mcdm,0.0,0.0
