column,missing_count,missing_rate
lot_smebidscount,4011030,0.9248224785287616
lot_validbidscount,3958209,0.9126435498898914
bid_isconsortium,3883649,0.895452263861339
bid_issubcontracted,3644054,0.840208887037157
tender_isjointprocurement,3483653,0.803225256802905
tender_finalpriceUsd,3414205,0.7872126437112887
lot_estimatedpriceUsd,3063709,0.7063988429083985
tender_estimatedpriceUsd,2960376,0.6825733713527601
tender_isdps,2917405,0.6726655554738313
bidder_country,2588134,0.5967455991714243
lot_bidscount,2375439,0.5477045505952045
tender_isframeworkagreement,2305071,0.5314798132661115
bid_priceUsd,2092014,0.482355298413841
corr_singleb,2035906,0.469418486765638
corr_buyer_concentration,1768640,0.4077950123596954
bid_iswinning,1561961,0.360141071840715
corr_nocft,1396190,0.321919281655104
tender_supplytype,1241833,0.286329215433145
corr_proc,822960,0.18974974181944032
tender_proceduretype,765189,0.1764294925550157
tender_corrections_count,439253,0.10127848661346191
tender_awardcriteria_count,439253,0.10127848661346191
tender_nationalproceduretype,343786,0.07926667728824986
cri,72,1.6601027280790927e-05
buyer_country,0,0.0
tender_year,0,0.0
