strategy,target,mode,val_rows,test_rows,val_positive_rate,test_positive_rate,test_average_precision,test_roc_auc,val_threshold_value,val_selected_rate,val_precision,val_recall,val_f1,test_selected_count,test_selected_rate,test_precision,test_recall,test_f1
raw cri probability,y_cri_high,calibrated top k,14999,39999,0.39529301953463564,0.3950098752468812,0.8950104120412112,0.9308604681331637,0.44,0.4400293352890193,0.7978787878787879,0.8881767583066285,0.8406097852981084,17600,0.4400110002750069,0.7861363636363636,0.8756962025316456,0.828502994011976
raw cri probability,y_cri_high,calibrated score threshold,14999,39999,0.39529301953463564,0.3950098752468812,0.8950104120412112,0.9308604681331637,0.41000000000000003,0.4386292419494633,0.79890560875513,0.88649013324338,0.8404221298369043,17608,0.4402110052751319,0.7858927760109041,0.8758227848101265,0.8284243295019157
raw cri probability,y_any_risk,calibrated top k,14999,39999,0.6227748516567772,0.6268156703917598,0.8988813080974051,0.8372754878891782,0.65,0.6500433362224148,0.8045128205128205,0.8397387859972165,0.8217484678644388,26000,0.6500162504062602,0.8045,0.8342772814294831,0.8191181077694235
raw cri probability,y_any_risk,calibrated score threshold,14999,39999,0.6227748516567772,0.6268156703917598,0.8988813080974051,0.8372754878891782,0.123,0.5905060337355824,0.8437394151518572,0.8000214109838347,0.8212990438509726,23770,0.5942648566214155,0.8409760201935212,0.7973037651563497,0.8185577986159452
baseline auto mcdm,y_cri_high,calibrated top k,14999,39999,0.39529301953463564,0.3950098752468812,0.8274770950226431,0.8943436960728057,0.48000000000000004,0.4800320021334756,0.7413888888888889,0.9003204587620172,0.8131617031000076,19200,0.4800120003000075,0.73046875,0.8876582278481012,0.8014285714285714
baseline auto mcdm,y_cri_high,calibrated score threshold,14999,39999,0.39529301953463564,0.3950098752468812,0.8274770950226431,0.8943436960728057,0.51,0.48343222881525433,0.7397600330988829,0.9047056839264631,0.8139605462822458,19509,0.48773719342983574,0.7252550105079707,0.895506329113924,0.8014387266702541
baseline auto mcdm,y_any_risk,calibrated top k,14999,39999,0.6227748516567772,0.6268156703917598,0.9032033257120959,0.8561976117210116,0.5800000000000001,0.5800386692446163,0.8740229885057471,0.8140456053955679,0.8429687933041405,23200,0.580014500362509,0.8724568965517241,0.8073149329929802,0.8386228041100431
baseline auto mcdm,y_any_risk,calibrated score threshold,14999,39999,0.6227748516567772,0.6268156703917598,0.9032033257120959,0.8561976117210116,0.365,0.5790386025735049,0.8749568221070811,0.8135103307997003,0.8431154998335737,23234,0.5808645216130404,0.8716536110871997,0.8077536694320357,0.8384879725085911
pareto auto mcdm,y_cri_high,calibrated top k,14999,39999,0.39529301953463564,0.3950098752468812,0.8978373637295094,0.930522701795921,0.44,0.4400293352890193,0.7972727272727272,0.887502108281329,0.8399712666613457,17600,0.4400110002750069,0.7852272727272728,0.8746835443037975,0.8275449101796407
pareto auto mcdm,y_cri_high,calibrated score threshold,14999,39999,0.39529301953463564,0.3950098752468812,0.8978373637295094,0.930522701795921,0.41700000000000004,0.44222948196546435,0.7960199004975125,0.8905380333951762,0.840630472854641,17774,0.4443611090277257,0.7823787554855407,0.8801265822784811,0.8283791028772264
pareto auto mcdm,y_any_risk,calibrated top k,14999,39999,0.6227748516567772,0.6268156703917598,0.9065891233369282,0.8466506833468935,0.59,0.5900393359557304,0.8515254237288136,0.8067658708917674,0.8285415864988182,23600,0.5900147503687592,0.8497457627118644,0.7998564135290364,0.8240466798159106
pareto auto mcdm,y_any_risk,calibrated score threshold,14999,39999,0.6227748516567772,0.6268156703917598,0.9065891233369282,0.8466506833468935,0.14300000000000002,0.5935062337489166,0.8492473601437879,0.8093351889519323,0.8288110508140109,23912,0.5978149453736343,0.8440531950485112,0.805001595405233,0.8240650008165932
