selected_count,selected_rate,precision,recall,f1,operating_point,threshold_value,strategy,target
400,0.010000250006250157,1.0,0.02531645569620253,0.04938271604938271,top k rate,0.01,raw cri probability,y_cri_high
800,0.020000500012500314,0.99875,0.050569620253164554,0.09626506024096386,top k rate,0.02,raw cri probability,y_cri_high
1200,0.03000075001875047,0.9991666666666666,0.07588607594936708,0.14105882352941176,top k rate,0.03,raw cri probability,y_cri_high
1600,0.04000100002500063,0.999375,0.10120253164556962,0.18379310344827587,top k rate,0.04,raw cri probability,y_cri_high
2000,0.050001250031250784,0.9985,0.12639240506329114,0.2243820224719101,top k rate,0.05,raw cri probability,y_cri_high
2400,0.06000150003750094,0.9979166666666667,0.15158227848101266,0.2631868131868132,top k rate,0.060000000000000005,raw cri probability,y_cri_high
2800,0.07000175004375109,0.9978571428571429,0.1768354430379747,0.3004301075268817,top k rate,0.06999999999999999,raw cri probability,y_cri_high
3200,0.08000200005000126,0.9975,0.2020253164556962,0.336,top k rate,0.08,raw cri probability,y_cri_high
3600,0.09000225005625141,0.9977777777777778,0.22734177215189874,0.37030927835051547,top k rate,0.09,raw cri probability,y_cri_high
4000,0.10000250006250157,0.994,0.25164556962025314,0.4016161616161616,top k rate,0.09999999999999999,raw cri probability,y_cri_high
4400,0.11000275006875172,0.9868181818181818,0.2748101265822785,0.4299009900990099,top k rate,0.11,raw cri probability,y_cri_high
4800,0.12000300007500188,0.985,0.2992405063291139,0.4590291262135922,top k rate,0.12,raw cri probability,y_cri_high
5200,0.13000325008125202,0.98,0.3225316455696203,0.48533333333333334,top k rate,0.13,raw cri probability,y_cri_high
5600,0.14000350008750218,0.9746428571428571,0.34544303797468356,0.5100934579439252,top k rate,0.14,raw cri probability,y_cri_high
6000,0.15000375009375233,0.9675,0.36740506329113926,0.5325688073394496,top k rate,0.15000000000000002,raw cri probability,y_cri_high
6400,0.1600040001000025,0.9628125,0.39,0.5551351351351351,top k rate,0.16,raw cri probability,y_cri_high
6800,0.17000425010625267,0.9545588235294118,0.4108227848101266,0.5744247787610619,top k rate,0.17,raw cri probability,y_cri_high
