algorithm,solution_index,method,normalization,top_k_rate,selected_criteria_count,decision_signature,objective_ap_loss,objective_ndcg_loss,objective_f1_loss,objective_any_f1_loss,objective_review_burden,objective_complexity,primary_average_precision,primary_precision,primary_recall,primary_f1,primary_ndcg,any_precision,any_recall,any_f1,any_ndcg,review_burden,complexity,criterion_selected_p_cri_high,weight_p_cri_high,criterion_selected_p_proc_high,weight_p_proc_high,criterion_selected_p_buyer_concentration_high,weight_p_buyer_concentration_high,criterion_selected_p_single_bid,weight_p_single_bid,criterion_selected_p_no_call_for_tender,weight_p_no_call_for_tender,criterion_selected_risk_consensus_mean,weight_risk_consensus_mean,criterion_selected_risk_consensus_max,weight_risk_consensus_max,criterion_selected_uncertainty_mean,weight_uncertainty_mean,criterion_selected_uncertainty_max,weight_uncertainty_max
NSGA-II,0,vikor,minmax,0.010000190067647305,3,"{""criteria"": [0, 3, 7], ""method"": ""vikor"", ""normalization"": ""minmax"", ""top_k_rate"": 0.01, ""weights"": [0.9774, 0.0043, 0.0182]}",0.08852122309959598,0.0,0.9506497779240006,0.968391107364872,0.010000190067647305,0.3333333333333333,0.911478776900404,1.0,0.0252993759487266,0.049350222075999345,1.0,1.0,0.016058237876030404,0.03160889263512802,1.0,0.010000190067647305,0.3333333333333333,True,0.9774319365240485,False,0.0,False,0.0,True,0.0043488968137504755,False,0.0,False,0.0,False,0.0,True,0.01821916666220095,False,0.0
NSGA-II,1,topsis,minmax,0.011359472418885434,3,"{""criteria"": [4, 7, 8], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.0114, ""weights"": [0.7642, 0.14, 0.0958]}",0.41036984592646675,0.3261728025255799,0.9622950819672131,0.9640454163162321,0.011359472418885434,0.3333333333333333,0.5896301540735333,0.672514619883041,0.01939618822735706,0.03770491803278689,0.6738271974744201,1.0,0.01830639117867466,0.03595458368376787,1.0,0.011359472418885434,0.3333333333333333,False,0.0,False,0.0,False,0.0,False,0.0,True,0.7642173931644429,False,0.0,False,0.0,True,0.13998349282064484,True,0.09579911401491228
NSGA-II,3,topsis,minmax,0.010142847987161873,4,"{""criteria"": [4, 6, 7, 8], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.0101, ""weights"": [0.3568, 0.4606, 0.0587, 0.1239]}",0.3212425369542906,0.3602510139186623,0.967773758632029,0.9677691173372657,0.010142847987161873,0.4444444444444444,0.6787574630457094,0.6405228758169934,0.01652892561983471,0.032226241367971066,0.6397489860813377,1.0,0.01637940263355101,0.032230882662734356,1.0,0.010142847987161873,0.4444444444444444,False,0.0,False,0.0,False,0.0,False,0.0,True,0.35677295024153166,False,0.0,True,0.4605769638501055,True,0.058724881006410996,True,0.12392520490195186
NSGA-II,4,topsis,minmax,0.04092343698436635,3,"{""criteria"": [4, 6, 7], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.0409, ""weights"": [0.6178, 0.3551, 0.0271]}",0.33264257345747994,0.36985121994038883,0.8829283203423506,0.8766449020592667,0.04092343698436635,0.3333333333333333,0.6673574265425201,0.6237785016286646,0.06459773992241524,0.11707167965764939,0.6301487800596112,1.0,0.06573172037255112,0.12335509794073331,1.0,0.04092343698436635,0.3333333333333333,False,0.0,False,0.0,False,0.0,False,0.0,True,0.617751804838978,False,0.0,True,0.35510858742252976,True,0.02713960773849236,False,0.0
NSGA-II,5,topsis,minmax,0.19996852620374445,4,"{""criteria"": [0, 3, 4, 7], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.2, ""weights"": [0.6705, 0.2417, 0.055, 0.0328]}",0.09564822817520369,0.049253831195119835,0.3645425019599059,0.521594684385382,0.19996852620374445,0.4444444444444444,0.9043517718247963,0.9456666666666667,0.4784955304435824,0.6354574980400941,0.9507461688048802,0.984,0.31602612140027836,0.4784053156146179,0.9861713223931323,0.19996852620374445,0.4444444444444444,True,0.6704896581169826,False,0.0,False,0.0,True,0.24174806155310954,True,0.05499421112809943,False,0.0,False,0.0,True,0.032768069201808574,False,0.0
NSGA-II,6,vikor,minmax,0.19704842756486224,3,"{""criteria"": [0, 4, 7], ""method"": ""vikor"", ""normalization"": ""minmax"", ""top_k_rate"": 0.197, ""weights"": [0.9546, 0.0358, 0.0096]}",0.08849428256724545,0.047622226149490965,0.37084974676420934,0.5306172237131008,0.19704842756486224,0.3333333333333333,0.9115057174327545,0.9455345060893099,0.47141170517793896,0.6291502532357907,0.952377773850509,0.976319350473613,0.30896049673482495,0.46938277628689923,0.979564185154275,0.19704842756486224,0.3333333333333333,True,0.9546081202935203,False,0.0,False,0.0,False,0.0,True,0.03581274232570963,False,0.0,False,0.0,True,0.009579137380770077,False,0.0
NSGA-II,7,topsis,minmax,0.19998498338809761,3,"{""criteria"": [0, 4, 7], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.2, ""weights"": [0.9571, 0.033, 0.0099]}",0.08871311123040893,0.04929019241170696,0.36588643745100247,0.52548415849607,0.19998498338809761,0.3333333333333333,0.9112868887695911,0.9436666666666667,0.4774835554056333,0.6341135625489975,0.950709807588293,0.976,0.3134568033401135,0.47451584150393,0.9792309810782401,0.19998498338809761,0.3333333333333333,True,0.9570863743125545,False,0.0,False,0.0,False,0.0,True,0.03297948148972186,False,0.0,False,0.0,True,0.009934144197723685,False,0.0
NSGA-II,8,topsis,minmax,0.14448667118061914,7,"{""criteria"": [0, 3, 4, 5, 6, 7, 8], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.1445, ""weights"": [0.1785, 0.0056, 0.3783, 0.1806, 0.2055, 0.0014, 0.0502]}",0.206392442133722,0.09731195453337715,0.5237742373718661,0.6255104700669041,0.14448667118061914,0.7777777777777778,0.793607557866278,0.8892988929889298,0.3251813121942992,0.4762257626281338,0.9026880454666228,0.9940036900369004,0.23070335081897014,0.37448952993309587,0.9948183093972004,0.14448667118061914,0.7777777777777778,True,0.17845104966311334,False,0.0,False,0.0,True,0.005631184317709772,True,0.37829360220561625,True,0.18056617824049664,True,0.2054613133346744,True,0.0014115719610105582,True,0.05018510027737897
NSGA-II,9,topsis,minmax,0.17285249414085396,5,"{""criteria"": [0, 1, 6, 7, 8], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.1729, ""weights"": [0.4241, 0.2398, 0.2239, 0.001, 0.1112]}",0.10886866293253772,0.04574107364361768,0.4226707345693499,0.5728171610524552,0.17285249414085396,0.5555555555555556,0.8911313370674623,0.9487080601619745,0.4149097655591162,0.5773292654306501,0.9542589263563823,0.9830312379483224,0.27288298897334334,0.42718283894754483,0.9851780399518979,0.17285249414085396,0.5555555555555556,True,0.42408940988797617,True,0.23978198630746217,False,0.0,False,0.0,False,0.0,False,0.0,True,0.2239059281229141,True,0.000988868412078111,True,0.11123380726956937
NSGA-II,10,topsis,minmax,0.0456998090850427,4,"{""criteria"": [3, 4, 5, 7], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.0457, ""weights"": [0.1064, 0.6315, 0.2597, 0.0024]}",0.27872872725363607,0.0157265049423001,0.7965230536659108,0.8631694425052359,0.0456998090850427,0.4444444444444444,0.7212712727463639,0.9810495626822158,0.11350986675662,0.20347694633408916,0.9842734950576999,1.0,0.07343967455304572,0.13683055749476414,1.0,0.0456998090850427,0.4444444444444444,False,0.0,False,0.0,False,0.0,True,0.1063934253351894,True,0.631512566038362,True,0.2596747545706639,False,0.0,True,0.002419254055784721,False,0.0
NSGA-II,11,vikor,minmax,0.0244144436225721,6,"{""criteria"": [0, 1, 4, 6, 7, 8], ""method"": ""vikor"", ""normalization"": ""minmax"", ""top_k_rate"": 0.0244, ""weights"": [0.4097, 0.2196, 0.0457, 0.2165, 0.001, 0.1075]}",0.10754002975395838,0.0021349510944832506,0.8837357052096569,0.9243922538112896,0.0244144436225721,0.6666666666666666,0.8924599702460416,0.997275204359673,0.0617304773148929,0.11626429479034307,0.9978650489055167,1.0,0.03928915533668772,0.07560774618871034,1.0,0.0244144436225721,0.6666666666666666,True,0.4097481504781866,True,0.21959124422319806,False,0.0,False,0.0,True,0.045716997336584485,False,0.0,True,0.21651399201272595,True,0.0009554282504303467,True,0.10747418769887458
NSGA-II,12,topsis,minmax,0.027371731992300974,6,"{""criteria"": [0, 1, 4, 6, 7, 8], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.0274, ""weights"": [0.4098, 0.2196, 0.0457, 0.2164, 0.001, 0.1075]}",0.10741324191270052,0.0038552739717360174,0.8709779179810726,0.9157095980311731,0.027371731992300974,0.6666666666666666,0.8925867580872995,0.9951338199513382,0.06898296508686119,0.12902208201892745,0.996144726028264,1.0,0.04399957178032331,0.08429040196882692,1.0,0.027371731992300974,0.6666666666666666,True,0.409821836347536,True,0.2196307337772405,False,0.0,False,0.0,True,0.04572521872010716,False,0.0,True,0.2163730960805435,True,0.0009556000670966374,True,0.10749351500747614
NSGA-II,13,topsis,minmax,0.12911757713209854,7,"{""criteria"": [0, 3, 4, 5, 6, 7, 8], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.1291, ""weights"": [0.1339, 0.0067, 0.3118, 0.2464, 0.2408, 0.0016, 0.0588]}",0.19639031094999237,0.07706189350732018,0.5504703788456649,0.658804752615712,0.12911757713209854,0.7777777777777778,0.8036096890500076,0.912751677852349,0.2981953111823242,0.44952962115433515,0.9229381064926798,0.9932885906040269,0.2059736644898833,0.34119524738428797,0.9942301467946751,0.12911757713209854,0.7777777777777778,True,0.13393698316767166,False,0.0,False,0.0,True,0.006657538023472541,True,0.3118158981696877,True,0.24638929055922318,True,0.2407927472659036,True,0.001592537830981084,True,0.05881500498306008
NSGA-II,14,topsis,minmax,0.10325718557854466,5,"{""criteria"": [3, 4, 6, 7, 8], ""method"": ""topsis"", ""normalization"": ""minmax"", ""top_k_rate"": 0.1033, ""weights"": [0.0306, 0.6034, 0.3008, 0.0007, 0.0644]}",0.3072137689450133,0.23649615299228754,0.6932334848890078,0.7155188246097337,0.10325718557854466,0.5555555555555556,0.6927862310549867,0.7404777275661717,0.19345589475459604,0.30676651511099223,0.7635038470077125,1.0,0.1658280697998073,0.2844811753902663,1.0,0.10325718557854466,0.5555555555555556,False,0.0,False,0.0,False,0.0,True,0.030567451376108706,True,0.603425117350351,False,0.0,True,0.300841273880046,True,0.0007479478447181545,True,0.06441820954877621
