algorithm,n_gen,n_eval,hypervolume
NSGA-II,1,100,0.26557027742266637
NSGA-II,2,200,0.28146685083465717
NSGA-II,3,300,0.2965383162075049
NSGA-II,4,400,0.3130918581147959
NSGA-II,5,500,0.3234167787705267
NSGA-II,6,600,0.32455085794848676
NSGA-II,7,700,0.34215074761769476
NSGA-II,8,800,0.34254445090999486
NSGA-II,9,900,0.34316986481855605
NSGA-II,10,1000,0.3426511866552039
NSGA-II,11,1100,0.34712529675410336
NSGA-II,12,1200,0.34733888937607255
NSGA-II,13,1300,0.3495372797262062
NSGA-II,14,1400,0.34945381404965864
NSGA-II,15,1500,0.3508457727286942
NSGA-II,16,1600,0.35088391610612213
NSGA-II,17,1700,0.3508778282894914
NSGA-II,18,1800,0.351227354186463
NSGA-II,19,1900,0.3507883191916289
NSGA-II,20,2000,0.34132786615561705
NSGA-II,21,2100,0.35097744032747336
NSGA-II,22,2200,0.3510907132091626
NSGA-II,23,2300,0.3506028032679732
NSGA-II,24,2400,0.35083833377543144
NSGA-II,25,2500,0.3509611889102336
NSGA-II,26,2600,0.3510886777906683
NSGA-II,27,2700,0.35080741501567436
NSGA-II,28,2800,0.35076610978315953
NSGA-II,29,2900,0.35035878904793516
NSGA-II,30,3000,0.3505398835748803
NSGA-II,31,3100,0.3509292351432177
NSGA-II,32,3200,0.3509072433298339
NSGA-II,33,3300,0.3509966928698839
NSGA-II,34,3400,0.35135009642765636
NSGA-II,35,3500,0.3515142789065405
NSGA-II,36,3600,0.35126969490514354
NSGA-II,37,3700,0.3507787141537872
NSGA-II,38,3800,0.35104511427907004
NSGA-II,39,3900,0.350412031800214
NSGA-II,40,4000,0.3509847844956454
NSGA-II,41,4100,0.3498486905789394
NSGA-II,42,4200,0.3500765302563291
NSGA-II,43,4300,0.34934139879758486
NSGA-II,44,4400,0.3489861754063859
NSGA-II,45,4500,0.34902329205661903
NSGA-II,46,4600,0.34894212835010485
NSGA-II,47,4700,0.3486079737089355
NSGA-II,48,4800,0.3485155288758589
NSGA-II,49,4900,0.3494867943256471
NSGA-II,50,5000,0.34997293395028445
NSGA-II,51,5100,0.3493095320951718
NSGA-II,52,5200,0.34957977577935456
NSGA-II,53,5300,0.3511802431539178
NSGA-II,54,5400,0.3508440670602441
NSGA-II,55,5500,0.3359246261948109
NSGA-II,56,5600,0.3512399984259892
NSGA-II,57,5700,0.35111568786381875
NSGA-II,58,5800,0.3509648732155397
NSGA-II,59,5900,0.3507262039021245
NSGA-II,60,6000,0.35121880053507565
NSGA-II,61,6100,0.3511301246369277
NSGA-II,62,6200,0.3492445367803373
NSGA-II,63,6300,0.3489293649261943
NSGA-II,64,6400,0.34806288878838165
NSGA-II,65,6500,0.35020344005497617
NSGA-II,66,6600,0.3507291038921355
NSGA-II,67,6700,0.35010135307464757
NSGA-II,68,6800,0.3500565235639392
NSGA-II,69,6900,0.35056545749660106
NSGA-II,70,7000,0.3504694893625774
NSGA-II,71,7100,0.35069233145116974
NSGA-II,72,7200,0.3504126533146753
NSGA-II,73,7300,0.3504897380863521
NSGA-II,74,7400,0.3506897734987291
NSGA-II,75,7500,0.3508631965857863
NSGA-II,76,7600,0.35138746977267654
NSGA-II,77,7700,0.35048430328851266
NSGA-II,78,7800,0.35038539757216547
NSGA-II,79,7900,0.351163805128479
NSGA-II,80,8000,0.3513801640421048
NSGA-II,81,8100,0.35158250299483695
NSGA-II,82,8200,0.35161120294131554
NSGA-II,83,8300,0.3517576890471623
NSGA-II,84,8400,0.3517463149243134
NSGA-II,85,8500,0.35153567295735744
NSGA-II,86,8600,0.351629959281241
NSGA-II,87,8700,0.3502886626143674
NSGA-II,88,8800,0.3498841006019483
NSGA-II,89,8900,0.35002498381733704
NSGA-II,90,9000,0.34963712493728544
NSGA-II,91,9100,0.3497249284681299
NSGA-II,92,9200,0.3498847044384205
NSGA-II,93,9300,0.3498231215353903
NSGA-II,94,9400,0.3498195395124128
NSGA-II,95,9500,0.3506001985821585
NSGA-II,96,9600,0.35014459697573325
NSGA-II,97,9700,0.34961613818979387
NSGA-II,98,9800,0.3491444320611156
NSGA-II,99,9900,0.349403836836915
NSGA-II,100,10000,0.34924883780852656
NSGA-II,101,10100,0.3499001286971861
NSGA-II,102,10200,0.34930217452688145
NSGA-II,103,10300,0.3496577455347894
