sample_row_id,y_cri_high,y_proc_high,y_buyer_concentration_high,y_single_bid,y_no_call_for_tender,p_cri_high,p_proc_high,p_buyer_concentration_high,p_single_bid,p_no_call_for_tender,y_any_risk,pareto_auto_mcdm_score,pareto_auto_mcdm_rank,selected_for_review
122396,1.0,,0.0,1.0,0.0,0.9913458,0.9735891,0.47983813,0.99997187,0.5035991,1.0,1.0,1,True
117268,1.0,,0.0,1.0,1.0,0.9921036,0.97153264,0.663775,0.99997085,0.5504914,1.0,0.9942634,2,True
1827429,1.0,1.0,1.0,1.0,1.0,0.98201674,0.99990743,0.6010527,0.99996775,0.4959531,1.0,0.99316716,3,True
1960683,1.0,1.0,,,0.0,0.98163176,0.9999198,0.61395586,0.99956965,0.5290682,1.0,0.9919286,4,True
122939,1.0,1.0,,1.0,0.0,0.99172205,0.9976101,0.7019982,0.99997205,0.5930588,1.0,0.9910409,5,True
1828911,1.0,1.0,0.0,1.0,1.0,0.97676164,0.9999088,0.4404054,0.99996775,0.4575842,1.0,0.9901897,6,True
1841523,1.0,1.0,0.0,1.0,1.0,0.97979116,0.99990994,0.4906847,0.99996775,0.6699182,1.0,0.9899528,7,True
1838779,1.0,1.0,0.0,1.0,1.0,0.979038,0.99990994,0.4906847,0.99996775,0.6699182,1.0,0.9895408,8,True
1861582,1.0,1.0,0.0,1.0,0.0,0.9743825,0.99990743,0.51414293,0.99996775,0.43005472,1.0,0.9890546,9,True
2964553,1.0,1.0,0.0,1.0,,0.99389786,0.9999582,0.50035375,0.9999716,0.871972,1.0,0.98888046,10,True
2963251,1.0,1.0,0.0,1.0,,0.9940759,0.9999582,0.5013886,0.9999729,0.871972,1.0,0.98887026,11,True
2862203,1.0,,,,,0.99390435,0.99984074,0.5044724,0.9999726,0.86885864,1.0,0.988853,12,True
1831999,1.0,1.0,1.0,1.0,1.0,0.9805387,0.99990994,0.57743806,0.99996775,0.6578308,1.0,0.9887967,13,True
2843716,1.0,,,,,0.99390435,0.99984074,0.5056067,0.9999726,0.87034166,1.0,0.98876995,14,True
2896129,1.0,,,,,0.9930089,0.99984074,0.49747285,0.9999726,0.86998576,1.0,0.98875207,15,True
2882977,1.0,,,,,0.9940818,0.99984074,0.49461755,0.99996966,0.8721983,1.0,0.9887408,16,True
2916469,1.0,,,1.0,,0.99482167,0.999846,0.49893168,0.9999679,0.88280386,1.0,0.98862565,17,True
2856131,1.0,,,,,0.99390435,0.99984074,0.5125433,0.9999726,0.86885864,1.0,0.98859686,18,True
2899310,1.0,,,,,0.99346626,0.99984074,0.5125433,0.9999726,0.86885864,1.0,0.98853785,19,True
2852715,1.0,,,,,0.9923032,0.99984413,0.50051004,0.9999679,0.87893486,1.0,0.9884185,20,True
2505002,1.0,,,,,0.98855317,0.99984497,0.49735734,0.9999726,0.857446,1.0,0.988195,21,True
2896022,1.0,,,,,0.9936959,0.99984413,0.49701545,0.999971,0.89085776,1.0,0.98817503,22,True
129020,1.0,1.0,0.0,,,0.97631073,0.99843764,0.43206492,0.99938047,0.3947643,1.0,0.9881616,23,True
130852,1.0,1.0,0.0,,,0.97631073,0.99843764,0.43206492,0.99938047,0.3947643,1.0,0.9881616,24,True
132492,1.0,1.0,0.0,,,0.97631073,0.99843764,0.43206492,0.99938047,0.3947643,1.0,0.9881616,25,True
134590,1.0,1.0,0.0,,,0.97631073,0.99843764,0.43206492,0.99938047,0.3947643,1.0,0.9881616,26,True
134689,1.0,1.0,0.0,,,0.97631073,0.99843764,0.43206492,0.99938047,0.3947643,1.0,0.9881616,27,True
136147,1.0,1.0,0.0,,,0.97631073,0.99843764,0.43206492,0.99938047,0.3947643,1.0,0.9881616,28,True
139243,1.0,1.0,0.0,,,0.97631073,0.99843764,0.43206492,0.99938047,0.3947643,1.0,0.9881616,29,True
139308,1.0,1.0,0.0,,,0.97631073,0.99843764,0.43206492,0.99938047,0.3947643,1.0,0.9881616,30,True
2850735,1.0,,,,,0.9936959,0.99984074,0.5247993,0.999971,0.87034166,1.0,0.98813397,31,True
2882725,1.0,,,,,0.99355876,0.99984413,0.4824213,0.99996966,0.87753636,1.0,0.9881162,32,True
2841320,1.0,,,,,0.9932737,0.99984074,0.48176455,0.999971,0.8759531,1.0,0.9881056,33,True
2861296,1.0,,,,,0.9931516,0.99984413,0.50275457,0.9999679,0.8909574,1.0,0.98810285,34,True
2713409,1.0,,,,,0.9930934,0.9998439,0.4935441,0.99996966,0.8884764,1.0,0.9880556,35,True
2854144,1.0,,,1.0,,0.99441606,0.99984074,0.47863322,0.9999679,0.8807345,1.0,0.98800236,36,True
2898606,1.0,,,,,0.99381405,0.99984413,0.49496135,0.999971,0.8956877,1.0,0.9879724,37,True
2882332,1.0,,,,,0.9927101,0.99984413,0.5202766,0.99996966,0.8785993,1.0,0.9878721,38,True
1846570,1.0,1.0,0.0,1.0,0.0,0.9809757,0.9999117,0.48144543,0.99996966,0.75718915,1.0,0.98787117,39,True
2909267,1.0,,,,,0.99381405,0.99984413,0.5214403,0.9999679,0.8831576,1.0,0.98784983,40,True
2846944,1.0,,,,,0.99325454,0.99984413,0.51124513,0.999971,0.8912136,1.0,0.98784107,41,True
2916829,1.0,,,,,0.9927101,0.99984413,0.52152914,0.99996966,0.8785993,1.0,0.9878326,42,True
2887088,1.0,,,,,0.99381405,0.99984413,0.48939157,0.999971,0.8956877,1.0,0.9877959,43,True
2892446,1.0,,,,,0.9920926,0.99984074,0.47610888,0.9999679,0.87420785,1.0,0.9877942,44,True
2962613,1.0,1.0,0.0,1.0,,0.99400353,0.9999582,0.4640952,0.9999729,0.871972,1.0,0.9877662,45,True
1969526,1.0,1.0,,,0.0,0.97320247,0.9999115,0.55213857,0.99953395,0.44714394,1.0,0.98776263,46,True
2900717,1.0,,,,,0.9925934,0.99984413,0.5052717,0.999971,0.8966117,1.0,0.9877585,47,True
2855334,1.0,,,,,0.99149257,0.99984413,0.50013334,0.999971,0.8966117,1.0,0.9877276,48,True
2863396,1.0,,,,,0.9928072,0.99984074,0.53524804,0.9999726,0.86998576,1.0,0.9876866,49,True
2892027,1.0,,,,,0.9934971,0.999846,0.4760165,0.999971,0.88445026,1.0,0.987686,50,True
2958605,1.0,1.0,0.0,1.0,,0.99384916,0.9999582,0.5381083,0.9999716,0.871972,1.0,0.987677,51,True
2846234,1.0,,,,,0.98832667,0.9998412,0.48603025,0.99996966,0.8618964,1.0,0.9876468,52,True
2623952,1.0,,,,,0.99229044,0.99984413,0.5252986,0.99996966,0.8793243,1.0,0.9876224,53,True
2882236,1.0,,,,,0.99390435,0.99984413,0.47584334,0.9999726,0.88957965,1.0,0.9875717,54,True
2858586,1.0,,,,,0.993343,0.99984074,0.54069084,0.999971,0.8714579,1.0,0.9875472,55,True
2919244,1.0,,,,,0.9943766,0.9998405,0.44943765,0.999971,0.86575514,1.0,0.98754674,56,True
2917698,1.0,,,,,0.99325454,0.99984413,0.516486,0.999971,0.8966117,1.0,0.9875046,57,True
2886575,1.0,,,,,0.9908074,0.99984497,0.47589928,0.9999679,0.8758732,1.0,0.98749083,58,True
