column,manifest_role,manifest_type,manifest_used_as_feature,audit_priority_feature,strict_ex_ante_feature,exclusion_reason,strict_ex_ante_enhanced_feature
trace_group_id,trace only,identifier,False,False,False,identifier or grouping,False
federated_client_id,federated partition,client grouping,False,False,False,identifier or grouping,False
client_available,federated partition,client grouping,False,False,False,identifier or grouping,False
tender_proceduretype,candidate feature,categorical,True,True,True,,True
tender_nationalproceduretype,candidate feature,categorical,True,True,True,,True
tender_supplytype,candidate feature,categorical,True,True,True,,True
tender_isjointprocurement,candidate feature,categorical,True,True,True,,True
tender_isframeworkagreement,candidate feature,categorical,True,True,True,,True
tender_isdps,candidate feature,categorical,True,True,True,,True
tender_maincpv,candidate feature,categorical,True,True,True,,True
tender_iseufunded,candidate feature,categorical,True,True,True,,True
tender_selectionmethod,candidate feature,categorical,True,True,True,,True
buyer_mainactivities,candidate feature,categorical,True,True,True,,True
buyer_buyertype,candidate feature,categorical,True,True,True,,True
buyer_type,candidate feature,categorical,True,True,True,,True
bidder_type,candidate feature,categorical,True,True,False,,False
bid_issubcontracted,candidate feature,categorical,True,True,False,,False
bid_isconsortium,candidate feature,categorical,True,True,False,,False
cpv_division,candidate feature,categorical,True,True,True,,True
cpv_group,candidate feature,categorical,True,True,True,,True
tender_lotscount,candidate feature,numeric,True,True,True,,True
tender_recordedbidscount,candidate feature,numeric,True,True,False,,False
tender_awardcriteria_count,candidate feature,numeric,True,True,True,,True
tender_corrections_count,candidate feature,numeric,True,True,False,,False
lot_row_nr,candidate feature,numeric,True,True,True,,True
lot_bidscount,candidate feature,numeric,True,True,False,,False
lot_validbidscount,candidate feature,numeric,True,True,False,,False
lot_electronicbidscount,candidate feature,numeric,True,True,False,,False
lot_smebidscount,candidate feature,numeric,True,True,False,,False
bid_subcontractedproportion,candidate feature,numeric,True,True,False,,False
tender_description_length,candidate feature,numeric,True,True,True,,True
lot_description_length,candidate feature,numeric,True,True,True,,True
tender_personalrequirements_length,candidate feature,numeric,True,True,True,,True
tender_technicalrequirements_length,candidate feature,numeric,True,True,True,,True
tender_economicrequirements_length,candidate feature,numeric,True,True,True,,True
rows_aggregated,candidate feature,numeric,True,True,False,,False
reported_bid_count,candidate feature,numeric,True,True,False,,False
bid_price_usd_count,candidate feature,numeric,True,True,False,,False
bid_price_usd_min,candidate feature,numeric,True,True,False,,False
bid_price_usd_max,candidate feature,numeric,True,True,False,,False
bid_price_usd_mean,candidate feature,numeric,True,True,False,,False
bid_price_usd_std,candidate feature,numeric,True,True,False,,False
bid_price_usd_cv,candidate feature,numeric,True,True,False,,False
bid_price_usd_spread_ratio,candidate feature,numeric,True,True,False,,False
log_bid_price_usd_min,candidate feature,numeric,True,True,False,,False
log_bid_price_usd_mean,candidate feature,numeric,True,True,False,,False
lot_estimated_price_usd,candidate feature,numeric,True,True,False,,False
tender_estimated_price_usd,candidate feature,numeric,True,True,False,,False
tender_final_price_usd,candidate feature,numeric,True,True,False,,False
log_lot_estimated_price_usd,candidate feature,numeric,True,True,False,,False
log_tender_estimated_price_usd,candidate feature,numeric,True,True,False,,False
log_tender_final_price_usd,candidate feature,numeric,True,True,False,,False
final_to_estimated_ratio,candidate feature,numeric,True,True,False,,False
lot_to_tender_estimated_ratio,candidate feature,numeric,True,True,False,,False
final_to_min_bid_ratio,candidate feature,numeric,True,True,False,,False
estimated_to_min_bid_ratio,candidate feature,numeric,True,True,False,,False
missing_bid_price_usd,candidate feature,numeric,True,True,False,,False
missing_tender_estimated_price_usd,candidate feature,numeric,True,True,False,,False
missing_tender_final_price_usd,candidate feature,numeric,True,True,False,,False
label_corr_singleb,label,risk outcome,False,False,False,target,False
label_corr_proc,label,risk outcome,False,False,False,target,False
label_corr_nocft,label,risk outcome,False,False,False,target,False
label_corr_buyer_concentration,label,risk outcome,False,False,False,target,False
label_cri,label,risk outcome,False,False,False,target,False
y_cri_high,binary target,risk outcome,False,False,False,target,False
y_proc_high,binary target,risk outcome,False,False,False,target,False
y_buyer_concentration_high,binary target,risk outcome,False,False,False,target,False
y_single_bid,binary target,risk outcome,False,False,False,target,False
y_no_call_for_tender,binary target,risk outcome,False,False,False,target,False
tender_proceduretype_te_cri,engineered feature,numeric,True,False,False,,True
tender_nationalproceduretype_te_cri,engineered feature,numeric,True,False,False,,True
tender_maincpv_te_cri,engineered feature,numeric,True,False,False,,True
tender_supplytype_te_cri,engineered feature,numeric,True,False,False,,True
tender_selectionmethod_te_cri,engineered feature,numeric,True,False,False,,True
buyer_mainactivities_te_cri,engineered feature,numeric,True,False,False,,True
buyer_buyertype_te_cri,engineered feature,numeric,True,False,False,,True
buyer_type_te_cri,engineered feature,numeric,True,False,False,,True
cpv_division_te_cri,engineered feature,numeric,True,False,False,,True
cpv_group_te_cri,engineered feature,numeric,True,False,False,,True
tender_proceduretype_x_tender_supplytype_te_cri,engineered feature,numeric,True,False,False,,True
buyer_buyertype_x_cpv_division_te_cri,engineered feature,numeric,True,False,False,,True
tender_maincpv_x_tender_proceduretype_te_cri,engineered feature,numeric,True,False,False,,True
log_tender_lotscount,engineered feature,numeric,True,False,False,,True
requirements_total_length,engineered feature,numeric,True,False,False,,True
description_length_ratio,engineered feature,numeric,True,False,False,,True
criteria_per_lot,engineered feature,numeric,True,False,False,,True
