column,non_missing_count,missing_count,missing_rate,categorical_cardinality
bid_subcontractedproportion,19528,3811382,0.9949025166344289,
final_to_estimated_ratio,239131,3591779,0.937578538780603,
lot_smebidscount,325264,3505646,0.915094846916268,
lot_validbidscount,364551,3466359,0.9048395811961126,
lot_electronicbidscount,426225,3404685,0.8887405342333806,
bid_isconsortium,449112,3381798,0.8827662356985677,4
lot_to_tender_estimated_ratio,525557,3305353,0.8628114468885982,
bid_issubcontracted,691553,3139357,0.8194807500045681,2
final_to_min_bid_ratio,696935,3133975,0.8180758618709393,
tender_final_price_usd,811239,3019671,0.7882385647274407,
log_tender_final_price_usd,811239,3019671,0.7882385647274407,
tender_isjointprocurement,818068,3012842,0.7864559595500807,2
estimated_to_min_bid_ratio,843739,2987171,0.7797549407320976,
log_tender_estimated_price_usd,1085902,2745008,0.7165420226525813,
tender_estimated_price_usd,1085902,2745008,0.7165420226525813,
log_lot_estimated_price_usd,1196456,2634454,0.687683605200853,
lot_estimated_price_usd,1196460,2634450,0.6876825610625151,
lot_row_nr,1211212,2619698,0.6838317788723828,
tender_isdps,1334812,2496098,0.6515679042316317,2
tender_selectionmethod,1475891,2355019,0.6147414060888927,2
tender_iseufunded,1656248,2174662,0.5676619915372588,2
lot_bidscount,1870740,1960170,0.5116721614446698,
y_single_bid,1885302,1945608,0.5078709758255872,
label_corr_singleb,1885302,1945608,0.5078709758255872,
tender_isframeworkagreement,1940345,1890565,0.4935028491924895,2
buyer_mainactivities,1982878,1848032,0.4824002652111378,45
y_buyer_concentration_high,2092323,1738587,0.4538313351135892,
label_corr_buyer_concentration,2092323,1738587,0.4538313351135892,
bid_price_usd_spread_ratio,2126424,1704486,0.44492979474850625,
bid_price_usd_cv,2126424,1704486,0.44492979474850625,
log_bid_price_usd_mean,2126600,1704310,0.44488385266163916,
log_bid_price_usd_min,2126600,1704310,0.44488385266163916,
bid_price_usd_std,2126611,1704299,0.44488098128120995,
bid_price_usd_max,2126611,1704299,0.44488098128120995,
bid_price_usd_min,2126611,1704299,0.44488098128120995,
bid_price_usd_mean,2126611,1704299,0.44488098128120995,
bidder_type,2416112,1414798,0.3693112080419535,1
y_no_call_for_tender,2671820,1159090,0.30256257651576257,
label_corr_nocft,2671820,1159090,0.30256257651576257,
tender_supplytype,2698840,1132070,0.29550942204332653,4
buyer_buyertype,2764592,1066318,0.27834587604511724,8
label_corr_proc,3009307,821603,0.21446679770602808,
y_proc_high,3009307,821603,0.21446679770602808,
tender_proceduretype,3157874,673036,0.1756856725947621,16
tender_awardcriteria_count,3401034,429876,0.11221250303452704,
tender_description_length,3401034,429876,0.11221250303452704,
tender_personalrequirements_length,3401034,429876,0.11221250303452704,
lot_description_length,3401034,429876,0.11221250303452704,
tender_technicalrequirements_length,3401034,429876,0.11221250303452704,
tender_maincpv,3401034,429876,0.11221250303452704,2
tender_economicrequirements_length,3401034,429876,0.11221250303452704,
tender_corrections_count,3401034,429876,0.11221250303452704,
tender_lotscount,3468087,362823,0.09470935104191955,
tender_recordedbidscount,3468087,362823,0.09470935104191955,
tender_nationalproceduretype,3488835,342075,0.08929340548329248,952
buyer_type,3731985,98925,0.025822846268902168,1
label_cri,3830838,72,1.8794490081990963e-05,
y_cri_high,3830838,72,1.8794490081990963e-05,
reported_bid_count,3830910,0,0.0,
rows_aggregated,3830910,0,0.0,
cpv_division,3830910,0,0.0,1
cpv_group,3830910,0,0.0,11
bid_price_usd_count,3830910,0,0.0,
missing_tender_estimated_price_usd,3830910,0,0.0,
missing_bid_price_usd,3830910,0,0.0,
missing_tender_final_price_usd,3830910,0,0.0,
