feature_set,column,forbidden_detected,reason
audit_priority,tender_proceduretype,False,
audit_priority,tender_nationalproceduretype,False,
audit_priority,tender_supplytype,False,
audit_priority,tender_isjointprocurement,False,
audit_priority,tender_isframeworkagreement,False,
audit_priority,tender_isdps,False,
audit_priority,tender_maincpv,False,
audit_priority,tender_iseufunded,False,
audit_priority,tender_selectionmethod,False,
audit_priority,buyer_mainactivities,False,
audit_priority,buyer_buyertype,False,
audit_priority,buyer_type,False,
audit_priority,bidder_type,False,
audit_priority,bid_issubcontracted,False,
audit_priority,bid_isconsortium,False,
audit_priority,cpv_division,False,
audit_priority,cpv_group,False,
audit_priority,tender_lotscount,False,
audit_priority,tender_recordedbidscount,False,
audit_priority,tender_awardcriteria_count,False,
audit_priority,tender_corrections_count,False,
audit_priority,lot_row_nr,False,
audit_priority,lot_bidscount,False,
audit_priority,lot_validbidscount,False,
audit_priority,lot_electronicbidscount,False,
audit_priority,lot_smebidscount,False,
audit_priority,bid_subcontractedproportion,False,
audit_priority,tender_description_length,False,
audit_priority,lot_description_length,False,
audit_priority,tender_personalrequirements_length,False,
audit_priority,tender_technicalrequirements_length,False,
audit_priority,tender_economicrequirements_length,False,
audit_priority,rows_aggregated,False,
audit_priority,reported_bid_count,False,
audit_priority,bid_price_usd_count,False,
audit_priority,bid_price_usd_min,False,
audit_priority,bid_price_usd_max,False,
audit_priority,bid_price_usd_mean,False,
audit_priority,bid_price_usd_std,False,
audit_priority,bid_price_usd_cv,False,
audit_priority,bid_price_usd_spread_ratio,False,
audit_priority,log_bid_price_usd_min,False,
audit_priority,log_bid_price_usd_mean,False,
audit_priority,lot_estimated_price_usd,False,
audit_priority,tender_estimated_price_usd,False,
audit_priority,tender_final_price_usd,False,
audit_priority,log_lot_estimated_price_usd,False,
audit_priority,log_tender_estimated_price_usd,False,
audit_priority,log_tender_final_price_usd,False,
audit_priority,final_to_estimated_ratio,False,
audit_priority,lot_to_tender_estimated_ratio,False,
audit_priority,final_to_min_bid_ratio,False,
audit_priority,estimated_to_min_bid_ratio,False,
audit_priority,missing_bid_price_usd,False,
audit_priority,missing_tender_estimated_price_usd,False,
audit_priority,missing_tender_final_price_usd,False,
strict_ex_ante,tender_proceduretype,False,
strict_ex_ante,tender_nationalproceduretype,False,
strict_ex_ante,tender_supplytype,False,
strict_ex_ante,tender_isjointprocurement,False,
strict_ex_ante,tender_isframeworkagreement,False,
strict_ex_ante,tender_isdps,False,
strict_ex_ante,tender_maincpv,False,
strict_ex_ante,tender_iseufunded,False,
strict_ex_ante,tender_selectionmethod,False,
strict_ex_ante,buyer_mainactivities,False,
strict_ex_ante,buyer_buyertype,False,
strict_ex_ante,buyer_type,False,
strict_ex_ante,cpv_division,False,
strict_ex_ante,cpv_group,False,
strict_ex_ante,tender_lotscount,False,
strict_ex_ante,tender_awardcriteria_count,False,
strict_ex_ante,lot_row_nr,False,
strict_ex_ante,tender_description_length,False,
strict_ex_ante,lot_description_length,False,
strict_ex_ante,tender_personalrequirements_length,False,
strict_ex_ante,tender_technicalrequirements_length,False,
strict_ex_ante,tender_economicrequirements_length,False,
