comparison strategy,metric,observed Pareto advantage (pp),bootstrap mean Pareto advantage (pp),BCa CI lower (pp),BCa CI upper (pp),Holm p value,favored strategy
Raw primary probability,Average precision,+0.28,+0.28,+0.26,+0.31,<0.001,Pareto-optimized
Raw primary probability,F1 at 20% review,-0.02,-0.03,-0.13,+0.12,0.704,Raw primary probability (n.s.)
Manual TOPSIS (equal weights),Average precision,+11.78,+11.79,+11.16,+12.36,<0.001,Pareto-optimized
Manual TOPSIS (equal weights),F1 at 20% review,+7.66,+7.69,+7.03,+8.32,<0.001,Pareto-optimized
Manual VIKOR (equal weights),Average precision,+14.67,+14.67,+13.98,+15.34,<0.001,Pareto-optimized
Manual VIKOR (equal weights),F1 at 20% review,+9.37,+9.35,+8.78,+10.09,<0.001,Pareto-optimized
Manual WASPAS (equal weights),Average precision,+12.55,+12.56,+11.95,+13.16,<0.001,Pareto-optimized
Manual WASPAS (equal weights),F1 at 20% review,+8.87,+8.85,+8.29,+9.55,<0.001,Pareto-optimized
Auto-MCDM baseline,Average precision,+7.04,+7.04,+6.62,+7.45,<0.001,Pareto-optimized
Auto-MCDM baseline,F1 at 20% review,+6.10,+6.06,+5.58,+6.70,<0.001,Pareto-optimized
