table,cell,printed in manuscript,value in artifact,artifact,status
Table 5,knee point: test primary AP,89.8,89.784,pareto_ensemble/table_05_selected_pareto_solutions.csv,match
Table 5,knee point: test primary F1,45.2,45.177,pareto_ensemble/table_05_selected_pareto_solutions.csv,match
Table 5,knee point: test any F1,31.4,31.378,pareto_ensemble/table_05_selected_pareto_solutions.csv,match
Table 5,knee point: top k rate,11.7,11.685,pareto_ensemble/table_05_selected_pareto_solutions.csv,match
Table 5,pseudo weights: test primary AP,89.4,89.385,pareto_ensemble/table_05_selected_pareto_solutions.csv,match
Table 5,pseudo weights: test primary F1,45.1,45.099,pareto_ensemble/table_05_selected_pareto_solutions.csv,match
Table 5,pseudo weights: test any F1,31.4,31.429,pareto_ensemble/table_05_selected_pareto_solutions.csv,match
Table 5,pseudo weights: top k rate,11.7,11.709,pareto_ensemble/table_05_selected_pareto_solutions.csv,match
Table 7,raw primary probability / Composite integrity risk: AP,89.5,89.501,validation/table_01_ranking_validation_summary.csv,match
Table 7,raw primary probability / Composite integrity risk: ROC AUC,93.1,93.086,validation/table_01_ranking_validation_summary.csv,match
Table 7,raw primary probability / Composite integrity risk: best F1,62.7,62.739,validation/table_01_ranking_validation_summary.csv,match
Table 7,raw primary probability / Composite integrity risk: best precision,93.3,93.325,validation/table_01_ranking_validation_summary.csv,match
Table 7,raw primary probability / Composite integrity risk: best recall,47.3,47.253,validation/table_01_ranking_validation_summary.csv,match
Table 7,raw primary probability / Any modeled risk: AP,89.9,89.888,validation/table_01_ranking_validation_summary.csv,match
Table 7,raw primary probability / Any modeled risk: ROC AUC,83.7,83.728,validation/table_01_ranking_validation_summary.csv,match
Table 7,raw primary probability / Any modeled risk: best F1,46.7,46.686,validation/table_01_ranking_validation_summary.csv,match
Table 7,raw primary probability / Any modeled risk: best precision,96.5,96.5,validation/table_01_ranking_validation_summary.csv,match
Table 7,raw primary probability / Any modeled risk: best recall,30.8,30.791,validation/table_01_ranking_validation_summary.csv,match
Table 7,baseline auto MCDM / Composite integrity risk: AP,82.7,82.748,validation/table_01_ranking_validation_summary.csv,match
Table 7,baseline auto MCDM / Composite integrity risk: ROC AUC,89.4,89.434,validation/table_01_ranking_validation_summary.csv,match
Table 7,baseline auto MCDM / Composite integrity risk: best F1,56.6,56.622,validation/table_01_ranking_validation_summary.csv,match
Table 7,baseline auto MCDM / Composite integrity risk: best precision,84.2,84.225,validation/table_01_ranking_validation_summary.csv,match
Table 7,baseline auto MCDM / Composite integrity risk: best recall,42.6,42.646,validation/table_01_ranking_validation_summary.csv,match
Table 7,baseline auto MCDM / Any modeled risk: AP,90.3,90.32,validation/table_01_ranking_validation_summary.csv,match
Table 7,baseline auto MCDM / Any modeled risk: ROC AUC,85.6,85.62,validation/table_01_ranking_validation_summary.csv,match
Table 7,baseline auto MCDM / Any modeled risk: best F1,44.7,44.678,validation/table_01_ranking_validation_summary.csv,match
Table 7,baseline auto MCDM / Any modeled risk: best precision,92.4,92.35,validation/table_01_ranking_validation_summary.csv,match
Table 7,baseline auto MCDM / Any modeled risk: best recall,29.5,29.467,validation/table_01_ranking_validation_summary.csv,match
Table 7,Pareto auto MCDM / Composite integrity risk: AP,89.8,89.784,validation/table_01_ranking_validation_summary.csv,match
Table 7,Pareto auto MCDM / Composite integrity risk: ROC AUC,93.1,93.052,validation/table_01_ranking_validation_summary.csv,match
Table 7,Pareto auto MCDM / Composite integrity risk: best F1,62.7,62.723,validation/table_01_ranking_validation_summary.csv,match
Table 7,Pareto auto MCDM / Composite integrity risk: best precision,93.3,93.3,validation/table_01_ranking_validation_summary.csv,match
