archive solution,selected configuration,draws selecting it,share of draws (%),test primary AP (%),queue Jaccard vs knee point
102,NSGA-III / cocoso / robust / 7 criteria / 11.6%,110,22.0,89.48,0.96
95,NSGA-III / cocoso / sum / 7 criteria / 11.7%,64,12.8,89.38,0.951
369,AGE-MOEA / cocoso / sum / 8 criteria / 15.4%,60,12.0,89.43,0.757
343,AGE-MOEA / vikor / sum / 8 criteria / 10.1%,51,10.2,89.75,0.82
129,NSGA-III / cocoso / sum / 6 criteria / 14.3%,42,8.4,89.81,0.819
81,NSGA-III / cocoso / robust / 7 criteria / 17.0%,33,6.6,89.31,0.687
411,AGE-MOEA / topsis / sum / 6 criteria / 9.9%,20,4.0,89.73,0.8
381,AGE-MOEA / vikor / sum / 7 criteria / 8.0%,20,4.0,89.47,0.662
423,AGE-MOEA / edas / sum / 6 criteria / 14.8%,15,3.0,88.85,0.743
117,NSGA-III / cocoso / robust / 7 criteria / 11.6%,15,3.0,80.69,0.532
402,AGE-MOEA / cocoso / sum / 7 criteria / 11.7%,12,2.4,88.09,0.863
122,NSGA-III / edas / robust / 7 criteria / 15.2%,10,2.0,78.62,0.447
135,NSGA-III / cocoso / sum / 7 criteria / 11.7%,8,1.6,89.26,0.936
154,NSGA-III / cocoso / sum / 8 criteria / 10.7%,5,1.0,84.33,0.595
361,AGE-MOEA / vikor / robust / 7 criteria / 19.6%,5,1.0,89.5,0.592
161,NSGA-III / cocoso / sum / 6 criteria / 14.3%,5,1.0,88.89,0.811
109,NSGA-III / cocoso / sum / 6 criteria / 17.1%,4,0.8,89.4,0.681
65,NSGA-II / topsis / minmax / 7 criteria / 12.9%,4,0.8,76.35,0.489
400,AGE-MOEA / vikor / sum / 8 criteria / 10.7%,3,0.6,81.25,0.564
152,NSGA-III / topsis / robust / 5 criteria / 12.9%,3,0.6,89.25,0.907
153,NSGA-III / cocoso / sum / 6 criteria / 14.1%,2,0.4,79.86,0.473
53,NSGA-II / topsis / minmax / 6 criteria / 9.0%,2,0.4,84.49,0.396
388,AGE-MOEA / cocoso / robust / 6 criteria / 11.6%,2,0.4,82.83,0.567
85,NSGA-III / cocoso / sum / 5 criteria / 14.1%,2,0.4,89.86,0.83
403,AGE-MOEA / vikor / robust / 5 criteria / 10.9%,1,0.2,89.93,0.919
168,NSGA-III / cocoso / robust / 6 criteria / 17.4%,1,0.2,80.38,0.413
136,NSGA-III / cocoso / sum / 5 criteria / 17.1%,1,0.2,89.96,0.683
